GW,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Solar,0.3,0.44,1.1,2.06,2.9,4.17,6.12,10.57,18.01,25.43,33.03,36.71,37.9,39.22,40.68,42.29,45.21,49.1,53.98,57.6
wind offshore,0,0,0,0,0,0,0,0.04,0.08,0.19,0.27,0.51,0.99,3.28,4.15,5.41,6.39,7.53,7.77,7.77
wind onshore,11.98,14.38,16.42,18.25,20.47,22.12,22.79,25.7,26.82,28.58,30.56,32.97,37.62,41.3,45.28,50.17,52.33,53.19,54.66,55.94
Natural Gas,20.3,19.5,19.4,20.6,21.2,21.3,22.8,23.1,23.8,27.25,27.38,28.39,29.02,28.36,29.45,29.76,30.13,30.07,30.5,30.5
Oil,5.3,5.1,5.6,5.5,5.5,5.4,5.4,5.2,5.9,4.17,4.14,4.14,4.24,4.2,4.59,4.42,4.38,4.38,4.38,4.38
Coal,28.29,28.67,30.36,27.64,26.98,27.54,27.82,27.26,28.39,25.72,25.18,25.96,26.21,28.65,27.44,24.04,23.82,2.67,23.71,23.71
Lignite,20.3,20.89,20.77,20.68,20.49,21.15,21.06,21.06,21.34,19.85,21.02,20.96,20.82,21.42,21.27,20.86,20.9,20.9,20.25,20.25
Nuclear,22.43,21,20.43,20.34,20.15,20.24,20.53,20.43,20.43,12.07,12.07,12.07,12.07,10.8,10.8,10.8,9.52,9.52,8.11,8.11
Biomass,1.32,1.88,2.16,2.94,3.65,4,4.35,5.58,6.13,5.8,6,6.7,6.93,7.17,7.38,7.69,8.13,8.46,8.54,8.57
Almacenamiento estacional,,,,,,,,,,1.44,1.44,1.44,1.53,1.53,1.54,0.99,0.99,0.99,0.99,0.99
Hydro Power,4.94,4.95,5.19,5.21,5.19,5.14,5.16,5.34,5.41,3.86,3.84,3.99,4.04,3.94,3.95,3.8,3.85,3.86,3.87,3.87
