(MW),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hidráulica convencional y mixta,13805,13867,13867,13930,13930,13910,13910,13910,13910,13910,15047,15054,15269,15268,15274,17042.641,17049.671,17052.94,17063.594,17097.781,17097.676,17093.176
Otra Hidráulica,1380,1433,1487,1557,1599,1696,1806,1887,1938,1974,2036,2041,2042,2105,2105,,,,,,,
Bombeo puro,2719,2719,2719,2727,2727,2727,2747,2747,2747,2747,2517,2517,2517,2517,2517,3331.4,3331.4,3331.4,3331.4,3331.4,3331.4,3331.4
Hidráulica,17904,18019,18073,18214,18256,18333,18463,18544,18595,18631,19600,19612,19828,19890,19896,20374.041,20381.071,20384.34,20394.994,20429.181,20429.076,20424.576
Nuclear,7799,7816,7816,7876,7876,7876,7716,7716,7716,7716,7791,7866,7866,7866,7866,7572.58,7572.58,7117.29,7117.29,7117.29,7117.29,7117.29
Carbón,11542,11565,11565,11565,11565,11424,11424,11356,11359,11359,11409,11649,11114,11132,10972,10962.415,10030.285,10030.285,10030.285,9683.445,5733.225,4883.715
Fuel/Gas,8214,8214,7494,6930,6930,6647,6647,4768,4401,3008,2282,833,520,520,520,7.95,7.95,7.95,7.95,7.95,7.95,7.95
Motores diésel,,,,,,,,,,,,,,,,811.27,811.27,811.27,811.27,768.67,768.67,768.67
Turbina de gas,,,,,,,,,,,,,,,,1148.65,1148.65,1148.65,1148.65,1148.65,1148.65,1148.65
Turbina de vapor,,,,,,,,,,,,,,,,482.64,482.64,482.64,482.64,482.64,482.64,482.64
Total Fuel/Gas,8214,8214,7494,6930,6930,6647,6647,4768,4401,3008,2282,833,520,520,520,2450.51,2450.51,2450.51,2450.51,2407.91,2407.91,2407.91
Ciclo Combinado,0,0,2794,4394,8285,12228,15504,20962,21677,23066,25278,25312,25348,25348,25348,26635.995,26635.995,26635.995,26250.145,26250.145,26250.145,26250.145
Hidroeólica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32,11.32,11.32,11.32,11.32,11.32,11.32
Eólica,2298,3442,4927,6138,8351,9742,11575,14827,16187,18719,19560,21017,22608,22845,22845,22922.23,22973.665,23068.069,23433.054,25682.847,27494.387,27981.997
Solar Fotovoltaica,,,,,,,125,637,3355,3399,3656,4059,4321,4424,4428,4680.958,4685.793,4687.988,4766.746,8782.902,11738.462,13606.371
Solar Térmica,,,,,,,11,11,61,232,532,999,1950,2300,2300,2304.013,2304.013,2304.013,2304.013,2304.013,2304.013,2304.013
Total Solar,0,0,0,0,0,0,136,648,3416,3631,4188,5058,6271,6724,6728,6984.971,6989.806,6992.001,7070.759,11086.915,14042.475,15910.384
Térmica renovable,,,,,,,,,,,780,884,970,975,1012,887.468,890.091,886.849,891.742,1041.967,1090.295,1092.111
Cogeneración y resto ,4969,5546,3075,6275,6405,5893,6154,6274,6529,6750,7123,7196,7155,7079,7075,6238.171,6016.262,5850.538,5837.783,5718.769,5702.852,5646.528
Otras renovables,339,455,611,681,757,792,834,877,716,849,,,,,,452.211,440.279,444.279,444.279,437.751,428.071,440.861
No Renovables,,,,,,,,,,,,,,,,153.322,153.322,157.322,157.322,157.322,157.322,170.112
Total       ,53065,55057,56355,62073,68425,72935,78453,85972,90596,93729,98011,99427,101680,102379,102262,105491.912,104391.864,103871.476,103932.161,109867.54,110707.046,112166.837
