TWh,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lignito,157.4,145.8,142.3,135.8,134.6,131.3,132.9,130.5,128.4,125.2,136.6,142.6,145.5,145.7,145.5,141.6,138.5,142.3,138.1,133.7,134.2,137.9,148.1,149.2,144.3,143,138.4,137.4,135,105.2
Carbón ,129.5,137.8,130.5,134.5,133,135.3,140.4,131.6,141.1,131.6,131.6,127.3,123.8,134.7,129.4,123.1,126.8,130.8,114.4,98.8,107.4,103.2,106.8,116.7,108.7,107,102.7,84.7,75.2,51.8
Nuclear,144.6,139.7,150.5,145.5,143.3,146.1,153.2,161.4,153.2,161.1,160.8,162.4,156.2,156.5,158.4,154.6,158.8,133.2,141,127.7,133,102.2,94.2,92.1,91.8,86.8,80,72.2,71.9,71
Gas,34.4,34.8,31.7,31.5,34.6,39.4,43.7,46.1,48.7,49.7,47.2,53.2,54,60.3,60.6,70,72.6,75.4,86.2,78.2,86.6,83.5,74,65.3,58.9,59.8,78.8,83.8,79.4,88
Oil,9.9,13.6,12.1,9.3,9.3,8.4,7.5,6.8,6.2,5.8,5.4,5.6,8,9.5,9.9,11,10,9,8.7,9.1,7.9,6.4,6.8,6.4,5,5.5,5.2,4.9,4.6,4.5
Renovable,19.4,17.2,20.1,20.9,22.6,24.7,22.6,23.8,25.8,28.7,37.3,38.2,45.3,44.9,55.8,60.8,69.3,85.7,90.5,92.1,101.4,120,138.5,147.6,157.7,183.4,184.5,210.9,219,236.5
Eolica,0,0.1,0.3,0.6,0.9,1.5,2,2.9,4.4,5.4,9.3,10.3,15.5,18.7,25.6,27.2,30.7,39.8,40.6,38.6,37.6,48.3,49.9,50.8,55.9,70.9,66.3,86.3,88.7,99.2
Eolica offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.7,0.9,1.4,8.2,12.1,17.4,19.2,24.4
Hidroelectrica,19.4,15.6,18.4,18.7,19.9,21.3,18.6,18.7,18.8,20.4,24.6,22.9,23.4,18.1,20.5,19.3,19.7,20.8,20.1,18.7,20.7,17.3,21.3,22.7,19.3,18.7,20.2,20,17.9,19.9
Biomasa,0,0.3,0.3,0.4,0.6,0.6,0.7,0.8,1,1.1,1.5,3,4.1,6.2,7.6,10.5,13.7,18.6,21.7,24.7,27.4,30.4,36.1,37.9,40.1,42.2,42.8,42.9,42.2,41.9
Solar Fotovoltaica,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.6,1.3,2.2,3.1,4.4,6.6,11.7,19.6,26.4,31,36.1,38.7,38.1,39.4,45.8,46.4
Residuos,0,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.9,2,2.1,2.2,2.2,1.6,1.6,2.4,2.9,3.4,3.7,3.4,3.8,3.8,4,4.3,4.8,4.6,4.7,4.8,4.9,4.7
Geotermia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.3,0.1
Otros:,18.7,15.6,15.8,15.3,16.8,17.2,16.8,16.9,18.5,19.3,21.8,20.7,17.6,18,18.8,21.8,23.1,24.3,22.5,19.3,24.1,23.1,23.1,23.6,24.4,24.8,24.7,25.1,24.4,23.2
Bombeo,0,3.5,3.7,4.6,4.9,5.4,5.4,4.5,5.1,3.9,4.5,4.5,4.7,4.5,5.6,6.7,6.6,6.8,5.9,5.5,6.3,5.7,5.9,5.7,5.7,5.8,5.5,5.9,6.1,5.6
Residuos domesticos,0,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.9,2,2.2,2.2,2.3,1.6,1.6,2.4,2.9,3.4,3.7,3.4,3.8,3.8,4,4.3,4.8,4.6,4.7,4.8,4.9,4.7
Residuos industriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.3,1.1,1.3,1.3,1.3,0.9,1.1,1,1.1,1.1,0.7,0.7
Generación Total,533.3,526.8,528.7,520.1,523.5,534.4,547,547.2,555,556.2,584.9,595.2,602.8,620.6,641.5,652.7,677.9,696.9,701.8,660.9,707.4,707.1,741.1,759.5,760.1,805.1,810,841.8,840.2,827.8
Total Renovable,19.4,17.2,20.1,20.9,22.6,24.7,22.6,23.8,25.8,28.7,37.3,38.2,45.3,44.9,55.8,60.8,69.3,85.7,90.5,92.1,101.4,120,138.5,147.6,157.7,183.4,184.5,210.9,219,236.5
