,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hidraulica,27842,39424,22598,38872,29777,19169,25330,27105.507,22935.484,26186.408,41833.806,30437.31814,20653.56661,37385.43684,39181.98523,28382.57998,36114.8882,18450.61874,34117.24135,24719.0152,30614.2535,25341.13522
Turbinación Bombeo,0,0,0,0,0,0,0,3102.613,2661.765,2655.946,3120.458,2183.536285,3201.8898,3289.677185,3415.996048,2895.3658,3134.329059,2248.964443,1993.99601,1645.505104,2748.100697,2051.53222
Otra Hidráulica,3836,4289,3771,4939,4544,3818,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Hidraulica,31678,43713,26369,43811,34321,22987,29479,30208.12,25597.249,28842.354,44954.264,32620.85443,23855.45641,40675.11403,42597.98128,31277.94578,39249.21726,20699.58318,36111.23736,26364.5203,33362.3542,27392.66744
Nuclear,62206,63708,63016,61875,63606,57359,60126,52638.927,56460.291,50549.445,59242.322,55005.87487,58595.4388,54210.78812,54781.28134,54661.80331,56021.68206,55539.35105,53197.61743,55824.22678,55756.77491,44274.10117
Carbón,76374,68091,78768,72249,76358,77393,66006,70630.103,46508.363,34793.025,23700.613,43177.46438,53779.89117,39441.53772,43246.0565,52616.4776,37313.77775,45019.42039,37276.80572,12670.6374,5021.71721,3360.901836
Fuel+Gas,10249,12398,16474,8035,7697,10013,5905,2090.765,2074.895,1789.59,1566.023,-10.012343,-3.812641,-2.012715,-0.819731,0.016618,0.000235,0,0,0,0,0
Motores diésel,0,0,0,0,0,0,0,3578.841,3649.238,3557.747,3637.09,3503.397878,3476.850792,3218.330298,3227.383088,3345.074394,3602.46349,3456.023552,3178.179141,2836.053144,2399.438012,1983.772118
Turbina de gas,0,0,0,0,0,0,0,988.221,749.196,685.34,646.045,880.242223,939.821432,883.666428,946.991236,915.771849,616.037302,871.160048,1049.279011,670.532077,406.585989,335.957443
Turbina de vapor,0,0,0,0,0,0,0,3306.805,3414.241,3243.628,2972.586,2634.295117,2681.695927,2463.796999,2070.771428,2222.950567,2536.143003,2674.39385,2455.432297,2189.010668,1387.60669,816.62405
Ciclo Combinado,0,0,5308,14991,28974,48885,63506,70624.091,93197.539,80223.795,66798.985,53430.94874,41074.44472,27569.90064,24828.834,29027.28934,29006.48209,37065.78708,30044.4672,55241.97022,44022.95972,30478.77956
Hidroeólica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889277,8.207424,17.891936,20.233057,23.655544,23.248718,19.540227,19.959721
Eolica,4462,6600,9257,11720,15584,20858,22881,27612,32160,38253,43545,42477,48525,54713,51032,48118,47697,47907,49581,54245,54899,44973
Solar Fotovoltaica,0,0,0,0,0,0,102,483.935,2497.995,6072.423,6422.79,7440.75238,8202.259145,8327.274596,8207.926131,8243.560905,7977.467185,8397.752693,7766.178425,9252.018881,15288.87668,17639.02592
Solar Termosolar,0,0,0,0,0,0,0,7.627,15.378,129.824,691.621,1861.641549,3447.493612,4441.527535,4958.914926,5085.235514,5071.201702,5347.952465,4424.326674,5166.431145,4538.31013,4310.355563
Otras renovables,1371,2107,2830,3295,3320,4540,3758,1923.248,2078.374,2516.445,2459.048,3714.034268,3791.083419,4334.285439,3816.315717,3432.591921,3425.664828,3610.347882,3557.43911,3617.7139,4480.106067,3623.297809
Cogeneración,16971,17282,19543,21450,21881,21875,20744,20924.488,24222.645,26000.961,28110.746,30593.25172,32444.2851,30835.66459,24153.24388,25200.87777,25908.64356,28211.8067,29006.75724,29615.08501,27008.25989,20604.23578
Residuos no renovables,0,0,0,0,0,0,0,2383.0375,2485.621,2622.983,2970.77,1287.77048,1589.415894,1617.236029,1965.877044,2480.108969,2606.963765,2607.984515,2434.962786,2222.463307,2015.310433,1768.011526
Resisuos renovables,0,0,0,0,0,0,0,736.8295,782.644,793.118,808.543,736.055744,719.789997,555.7395025,678.0715725,818.0497025,785.3950295,877.006087,874.075245,889.81375,725.646073,674.9250785
Generación Total,203311,213899,221565,237426,251741,263910,272507,288136.702,295893.515,280073.517,288526.797,279353.8222,283118.6437,273286.2429,266511.7485,267453.8492,261835.6915,262305.7581,260981.9021,260828.7812,251332.8762,202255.7604
Total Solar,0,0,0,0,0,0,102,491.562,2513.373,6202.247,7114.411,9302.393929,11649.75276,12768.80213,13166.84106,13328.79642,13048.66889,13745.70516,12190.5051,14418.45003,19827.18681,21949.38148
